term,alpha_i,alpha_not_i,alpha_0i
aa,0.011020215369915246,318.6994675034092,318.7104877187791
aaa,0.0039388746135431375,136.02509959190363,136.02903846651716
aaron,0.00610519096059506,595.9830760384801,595.9891812294408
ab,0.008986495772993512,244.46837655930852,244.47736305508153
abandon,0.0023094857385807894,122.91507730068713,122.91738678642571
abandoned,0.0026635634334997494,78.40391005492297,78.40657361835648
abc,0.0038678920270519574,70.69425361061046,70.6981215026375
abiding,0.021150391830440502,753.5669698550882,753.5881202469187
abilities,0.005045948883775779,331.51026233069337,331.51530827957714
ability,0.030034903002858885,272.569533571889,272.59956847489184
able,0.29587347197761665,596.283973717227,596.5798471892047
abolish,0.003946147134341244,289.6921622878148,289.69610843494917
abolished,0.0018284101666131442,109.4453794684361,109.44720787860271
abort,0.0018547004116928202,173.6473562967545,173.6492109971662
abortion,0.0027459151778467823,54.33284063815675,54.3355865533346
about,1.6962897731830413,495.618910552963,497.315200326146
above,0.28148092726833546,807.1605461866005,807.4420271138689
abraham,0.007205775486542424,425.59552703345366,425.60273280894023
abroad,0.002722697606851099,108.38275741615496,108.38548011376182
abs,0.005194309346263274,294.7476340868054,294.7528283961517
absence,0.0061195865140089446,141.98757792863032,141.99369751514433
absent,0.0013585932386056714,55.355256998235404,55.35661559147401
absolute,0.016270071689497408,182.74915778025678,182.76542785194627
absolutely,0.05707197431848479,440.22305772528466,440.28012969960315
absolutes,0.0009362294341523188,59.21370789502094,59.21464412445509
abstract,0.015082928864312112,647.8776248377618,647.8927077666261
abstracts,0.0011324098414097262,80.92922164124597,80.93035405108738
absurd,0.004567036978290649,135.92103913848663,135.92560617546494
absurdity,0.0030034621209483444,248.18266110475085,248.1856645668718
abuse,0.02923111316003961,591.3797487169423,591.4089798301023
abused,0.007603853807360592,458.46051796507726,458.46812181888464
abuses,0.0035002723522096976,158.8271392159175,158.8306394882697
abusive,0.0016654303313850239,91.83044594206841,91.8321113723998
ac,0.0244844463898905,172.5896471949909,172.6141316413808
acad,0.0024923277715044024,229.68424873173436,229.68674105950586
academia,0.003546229369106044,208.68353059313026,208.68707682249936
academic,0.01658692333799478,745.7497841966212,745.7663711199592
academics,0.0019227596688502723,119.71088421778043,119.71280697744928
academy,0.0027064442103723815,166.05912090893355,166.0618273531439
accelerate,0.002152043263806733,81.27401530373355,81.27616734699735
accelerated,0.007608634642446209,386.248419677895,386.25602831253747
acceleration,0.006293076654378565,381.601637080287,381.6079301569414
accelerator,0.003959216425764876,71.0510472817245,71.05500649815026
accelerators,0.0012375745570708052,53.004169277600305,53.00540685215738
accept,0.05117181655898051,228.7084475878658,228.7596194044248
acceptable,0.019182709600178982,216.79575872796838,216.81494143756856
acceptance,0.007227735583786164,158.36085475874498,158.36808249432877
accepted,0.10853668780914891,979.6896313376209,979.7981680254301
accepting,0.30522193146830634,13709.187915672926,13709.493137604395
accepts,0.0019457008112370544,196.27848576353267,196.2804314643439
access,0.07005884311383018,217.87999158366307,217.9500504267769
accessed,0.002967054614016991,117.22808916969595,117.23105622430997
accessible,0.061626945732580776,3475.9496054049337,3476.0112323506664
accessing,0.001107250470913418,61.28535440706287,61.286461657533785
