term,alpha_i,alpha_not_i
aa,0.0002661011651437894,17.896468474053332
aaa,0.0001705858791736074,27.92749315684437
aac,0.0010645279115857314,69.89099325279597
aachener,0.004013474644665818,1389.4987016071
aagiy,0.0003454508056160791,81.79311179964984
aaix,0.0001707528617955316,26.6832699263233
aam,0.0006215987219004112,74.30503977870005
aancor,0.0008699431862787017,261.92266998782526
aap,0.00032704086377712655,39.75831601560534
aar,0.0017190421192389332,254.61756728025935
aare,0.00026596627240654336,56.37031061899389
aarn,0.00017719660970500468,29.79192089615049
aarnoud,0.001961818376771007,651.104400062885
aaron,0.0003601254794870688,30.601428642960357
aati,0.00010586043853066193,15.04312512980361
ab,0.007991749644617468,36.00344295370186
abal,0.00020983475083260117,39.24960523579144
abandon,0.0031979555636933725,288.18714071921016
abandoned,0.46969098495675,22353.218378125017
abandoning,0.0007386709348577122,122.77553147845173
abandonment,0.000953199023583953,126.68615304602628
abatement,0.00018845546852622452,33.006071264554166
abbas,0.01194130523372591,2093.1091576908457
abbett,8.499033869823202e-05,6.95644463680125
abbey,0.00018018220892818324,7.993935833083426
abbreviated,0.0003663864736422832,88.5998257753481
abc,0.00012140680661686787,15.005431996422299
abdel,0.0005339786018139287,59.51852924629377
abdelaziz,0.0046309244152957585,783.2671192528661
abdul,0.0029992569810955412,133.20193840146624
abdulaziz,0.0012218936585013723,170.4014411858643
abdullah,0.000149018626238015,22.000409113672585
abercrombie,0.0010688203427423432,385.53450722802467
abev,0.00031505891353382845,71.92793202802407
abex,0.0003515357749108484,29.376659185287348
abf,0.00025013998827662213,31.15466599106608
abi,0.001004388889912868,48.030633728677536
abide,0.0038262351531385594,108.1170166093062
abiding,0.005207261348040429,260.98783576277435
abidjan,0.00010417778089290558,12.568632315797812
abilene,0.00024389075022107165,49.51652198107671
abilities,0.00018304728938191875,31.45002835593901
ability,0.13853395827987705,1307.2050531868624
able,0.5073212695344848,2924.0473772512078
abm,0.0001839367061839175,29.764778414961167
abn,0.00014405352466121505,20.725514350336365
abnn,0.0015352298152098202,92.27174461124939
abnormally,0.0003716677209326675,88.73975526452142
aboard,0.0006680575457001765,191.13424478112492
abolish,0.0031059503788022484,228.72293289361423
abolished,0.0019266395065100958,127.11158202850896
abolishing,0.001242186029279262,193.59890491559727
abolition,0.00019704407277871633,36.03801214342399
abort,0.00019043566866949873,33.56947810793751
aborted,0.0005695447814870075,68.0004959835101
abover,0.000852782590998481,255.71487443266793
abraham,0.00038707870490123364,101.44593791063028
abroad,0.08373232125237746,713.6623657536268
abrupt,0.00024032866988738514,37.164380881105465
abs,0.0003857340805777837,34.113400453159606
absb,0.001311337845988617,67.76458371423188
absence,0.012582289338833501,591.6755375598028
absent,0.006902142613695427,2159.9934741750626
absolute,0.0015986145063380359,167.42003931139334
absolutely,0.28898041471671126,26384.581309212394
absolve,0.00023592874839906743,42.62555050180276
absorb,0.001792732733592348,83.76333187412939
absorbed,0.0007943553123615773,98.10619158290653
absorbing,0.0033962821004763872,1167.2626018368185
absorption,0.0010354034558807971,188.01231748839027
abstain,0.00042071945772458546,83.02754287359039
abu,0.0005827214030238235,31.813443813671785
abundance,0.0011878113358266826,374.3148843778974
abundant,0.0004775742106604916,128.13839596979813
abuse,0.000796886949366655,99.24366075930647
abuses,0.0009925145966802372,305.00213372283827
abusing,0.0033705370237890296,763.684790541479
abusive,0.0022889243885272424,143.5785772145619
abx,0.00035956638224103604,38.89676354523865
abz,0.00041880127364129734,37.83588602082021
ac,0.0003850374164485591,94.79195183554755
academics,0.002307109077960697,473.204301538186
academy,0.0003350503280471871,27.055524288579154
acccounts,0.018897448255198394,6775.778803385226
accelerate,0.0031398130191099076,100.77362595876153
accelerated,0.04091945117364419,1144.7588829847411
accelerating,0.001952177083444437,129.3198672749748
acceleration,0.0008354541408362271,38.938738872361604
accentuating,0.0026001558377886243,187.65803292393764
accept,0.050278636308736316,285.8356879680423
acceptable,0.008802976127636837,138.36722946500092
acceptance,0.008400314596843608,175.16752853204613
acceptances,0.0017603502198474958,113.11268800597394
accepted,0.0400040680155213,315.83567824825997
accepting,0.002433709814726812,68.4681429835456
accepts,0.0004279125248083876,20.359893123185092
access,0.02076978400744259,134.80010067257942
accessible,0.00017455196534401862,29.127569301027332
accession,0.0007212537462920745,48.46911281342954
accessories,0.0010758155361160373,61.536011429003665
accident,0.005944089408575828,118.71742670643566
accidents,0.0016460988802030705,149.87933257522621
acclerated,0.00017945855981054665,30.43085839246962
accommodate,0.00039771899629372203,111.41887001890608
accommodating,0.00027022179969366194,58.741450082333984
accommodation,0.0005891009987863322,77.50742837341824
accomodate,0.00032522203804751713,52.421994727079095
accomodations,0.00018179714937541106,31.095363589042833
accompanied,0.0028477895681059207,209.69058201328082
accompany,0.0030254543053909668,221.99456535637637
accompanying,0.0032984380730208987,101.66749289517058
accomplish,0.0015708634486077788,97.15063229922208
accomplished,0.00018025246093463353,30.648088787680017
accomplishments,0.000799446936688931,84.10609225644076
accord,0.04574982604627719,178.95743578366415
accordance,0.00872712259402657,296.87487095653717
according,0.11063022939243647,296.0759797684643
accordingly,0.0026513623754382356,143.68413426730547
accords,0.00413271842286347,154.44693034858818
account,0.17881030385343297,661.8660981204825
accountable,0.0008174024259590356,102.64247633895346
accountants,0.004453776365491307,162.99237930826988
accounted,0.014688895266639761,113.02525743409666
accounting,0.02792442813419309,105.68649918105034
accounts,0.0657065076543827,372.302585858096
accredited,0.0002555212306859659,53.12194518298604
accruable,0.00015026461103946685,22.3747118953915
accrual,0.0025397182685422235,87.31485773341015
accruals,0.0018230275367173547,170.25561109523017
accrue,0.0008584365178901016,397.50808322142575
accrued,0.0038208981693152876,57.66256968272338
accruing,0.0010828837909224978,72.65697263011695
accu,0.0005431655312367788,58.12779124663108
accumulated,0.038145812952940374,1085.5288934598925
accumulating,0.003943178070132928,155.022527859257
accumulation,0.11457710901315281,20679.16468482895
accumulations,0.00016899682871095615,27.485846927707698
accuracy,0.00020991493187212705,39.275042918570506
accurate,0.046717205914907974,8530.567627830173
accuray,0.00019305038742267023,9.380820746796974
accusations,0.0002830861334721963,62.493513224148884
accuse,0.00018118905034458555,30.92073750634371
accused,0.1217434427120724,3605.7347273518058
accusing,0.0010020015564788116,68.88989757069312
aced,0.0004667242012376509,122.07508910993893
acf,0.0003201301252247987,73.28088715284896
