term,alpha_i,alpha_not_i
aa,0.011020215369915246,318.6994675034092
aaa,0.0039388746135431375,136.02509959190363
aaron,0.00610519096059506,595.9830760384801
ab,0.008986495772993512,244.46837655930852
abandon,0.0023094857385807894,122.91507730068713
abandoned,0.0026635634334997494,78.40391005492297
abc,0.0038678920270519574,70.69425361061046
abiding,0.021150391830440502,753.5669698550882
abilities,0.005045948883775779,331.51026233069337
ability,0.030034903002858885,272.569533571889
able,0.29587347197761665,596.283973717227
abolish,0.003946147134341244,289.6921622878148
abolished,0.0018284101666131442,109.4453794684361
abort,0.0018547004116928202,173.6473562967545
abortion,0.0027459151778467823,54.33284063815675
about,1.6962897731830413,495.618910552963
above,0.28148092726833546,807.1605461866005
abraham,0.007205775486542424,425.59552703345366
abroad,0.002722697606851099,108.38275741615496
abs,0.005194309346263274,294.7476340868054
absence,0.0061195865140089446,141.98757792863032
absent,0.0013585932386056714,55.355256998235404
absolute,0.016270071689497408,182.74915778025678
absolutely,0.05707197431848479,440.22305772528466
absolutes,0.0009362294341523188,59.21370789502094
abstract,0.015082928864312112,647.8776248377618
abstracts,0.0011324098414097262,80.92922164124597
absurd,0.004567036978290649,135.92103913848663
absurdity,0.0030034621209483444,248.18266110475085
abuse,0.02923111316003961,591.3797487169423
abused,0.007603853807360592,458.46051796507726
abuses,0.0035002723522096976,158.8271392159175
abusive,0.0016654303313850239,91.83044594206841
ac,0.0244844463898905,172.5896471949909
acad,0.0024923277715044024,229.68424873173436
academia,0.003546229369106044,208.68353059313026
academic,0.01658692333799478,745.7497841966212
academics,0.0019227596688502723,119.71088421778043
academy,0.0027064442103723815,166.05912090893355
accelerate,0.002152043263806733,81.27401530373355
accelerated,0.007608634642446209,386.248419677895
acceleration,0.006293076654378565,381.601637080287
accelerator,0.003959216425764876,71.0510472817245
accelerators,0.0012375745570708052,53.004169277600305
accept,0.05117181655898051,228.7084475878658
acceptable,0.019182709600178982,216.79575872796838
acceptance,0.007227735583786164,158.36085475874498
accepted,0.10853668780914891,979.6896313376209
accepting,0.30522193146830634,13709.187915672926
accepts,0.0019457008112370544,196.27848576353267
access,0.07005884311383018,217.87999158366307
accessed,0.002967054614016991,117.22808916969595
accessible,0.061626945732580776,3475.9496054049337
accessing,0.001107250470913418,61.28535440706287
accessories,0.009235563424903713,549.6834132598967
accident,0.0183485161639327,315.40202125339147
accidental,0.00723018310064955,377.0200537406746
accidentally,0.003128957400024305,127.08897887848757
accidents,0.003238257098549119,88.34534001534648
accommodate,0.008969850563873092,954.3960412228591
accomodate,0.0023728977589763537,244.9809889519472
accompanied,0.0037846711077157156,191.68602776559766
accompanying,0.004846156037926579,188.69887833651006
accomplish,0.0031232764123607197,189.947954280335
accomplished,0.007791927551831334,243.00493696437474
accord,0.0044579855017707224,244.03680319463516
